mention_id,song_id,place_raw,place_canonical,language_of_mention,lyric_context,lyric_translation,context_type,verse_number,confidence,notes
cs_s05_e01_t03_m02,cs_s05_e01_t03,Lahore,Lahore,english,"Tell me, in the city of Lahore",,other,2,high,
cs_s05_e01_t03_m03,cs_s05_e01_t03,Lahore,Lahore,english,"Tell me, in the city of Lahore",,other,3,high,
cs_s05_e01_t03_m04,cs_s05_e01_t03,Lahore,Lahore,english,I will tell you that in the city of Lahore,,other,4,high,
cs_s05_e01_t03_m05,cs_s05_e01_t03,مکّہ,Makkah,native,میرا رانجھا ماہی مکّہ,My beloved Ranjha is my Mecca,other,5,medium,
cs_s05_e01_t04_m01,cs_s05_e01_t04,Peshawar,Peshawar,english,Go to Peshawar,,journey,1,high,
cs_s05_e01_t04_m02,cs_s05_e01_t04,Peshawar,Peshawar,english,Go to Peshawar and bring a black-coloured shirt for me,,journey,2,high,
cs_s05_e01_t04_m03,cs_s05_e01_t04,Peshawar,Peshawar,english,Go to Peshawar,,journey,3,high,
cs_s05_e01_t04_m04,cs_s05_e01_t04,Peshawar,Peshawar,english,Go to Peshawar and bring a black-coloured shirt for me,,journey,4,high,
cs_s05_e01_t04_m05,cs_s05_e01_t04,Peshawar,Peshawar,english,Go to Peshawar and bring a black-coloured shirt for me,,journey,6,high,
cs_s05_e01_t04_m06,cs_s05_e01_t04,Peshawar,Peshawar,english,Go to Peshawar and bring a black-coloured shirt for me,,journey,9,high,
cs_s05_e02_t04_m01,cs_s05_e02_t04,Sindh,Sindh,english,May the land of Sindh be prosperous,,other,1,high,
cs_s05_e02_t04_m02,cs_s05_e02_t04,Sindh,Sindh,english,"In the land of Sindh, in the city of Bhambore",,other,2,high,
cs_s05_e02_t04_m03,cs_s05_e02_t04,Sindh,Sindh,english,"In the land of Sindh, in the city of Bhambore",,other,4,high,
cs_s05_e02_t04_m04,cs_s05_e02_t04,Sindh,Sindh,english,"In the land of Sindh, in the city of Bhambore",,other,5,high,
cs_s05_e02_t04_m05,cs_s05_e02_t04,Sindh,Sindh,english,"In the land of Sindh, in the city of Bhambore",,other,6,high,
cs_s06_e01_t03_m01,cs_s06_e01_t03,Karbala,Karbala,english,"In Karbala, witness the devotion of Love",,other,4,high,
cs_s06_e04_t02_m01,cs_s06_e04_t02,کوئٹہ,Quetta,native,کوئٹہ مئے ملک انت,And Quetta is our home,other,8,medium,
cs_s07_e03_t01_m01,cs_s07_e03_t01,سیہون,Sehwan,native,جی سی ہ وانی الل ) (اے سیہون والے پیر,O beloved master from Sehwan,origin,3,medium,
cs_s07_e03_t01_m02,cs_s07_e03_t01,سیہون,Sehwan,native,جی سی ہ وانی الل (اے سیہون والے پیر),O beloved master from Sehwan,origin,6,medium,
cs_s07_e03_t01_m03,cs_s07_e03_t01,نجف,Najaf,native,شاناں واال پیر نجف دا )شان واال پیر نجف کا(,"Ali, the glorious master of Najaf",other,7,medium,
cs_s07_e06_t01_m01,cs_s07_e06_t01,Mecca,Makkah,english,"Shall I turn to Mecca in prayer, or gaze towards you?",,journey,1,medium,
cs_s07_e07_t02_m01,cs_s07_e07_t02,کراچی,Karachi,native,کیہہ کراچی ملتان,What Karachi or Multan?,other,5,medium,
cs_s07_e07_t02_m02,cs_s07_e07_t02,ملتان,Multan,native,کیہہ کراچی ملتان,What Karachi or Multan?,other,5,medium,
cs_s07_e07_t02_m03,cs_s07_e07_t02,کوئٹہ,Quetta,native,کوئٹہ چمن تے ایران,"Quetta, Chaman, and Iran",other,6,medium,
cs_s07_e07_t02_m04,cs_s07_e07_t02,Ravi,Ravi,english,Both are near the river Ravi,,other,11,medium,
cs_s08_e01_t04_m01,cs_s08_e01_t04,مدینہ,Madinah,native,اے کاتبِ تقدیر مدینہ لکھ دے,"O Writer of Destinies, let Medina be my fate",other,1,medium,
cs_s08_e01_t04_m02,cs_s08_e01_t04,Medina,Madinah,english,"Come, devoted lovers, let’s go to Medina!",,journey,10,medium,
cs_s08_e01_t04_m03,cs_s08_e01_t04,Medina,Madinah,english,The wonders of His Glory are glitteringly manifest in Medina,,other,11,medium,
cs_s08_e01_t04_m04,cs_s08_e01_t04,Medina,Madinah,english,Let’s go to Medina!,,journey,12,medium,
cs_s08_e01_t04_m05,cs_s08_e01_t04,Medina,Madinah,english,"Come, devoted lovers, let’s go to Medina!",,journey,13,medium,
cs_s09_e03_t01_m01,cs_s09_e03_t01,Medina,Madinah,english,You’ve done a round of Mecca and Medina,,other,2,medium,
cs_s09_e03_t01_m02,cs_s09_e03_t01,Mecca,Makkah,english,You’ve done a round of Mecca and Medina,,other,2,medium,
cs_s09_e04_t03_m01,cs_s09_e04_t03,چناب,Chenab,native,پار چناں دے دسّے کلّی یار دی (چناب کے پار یار کی کٹیا دکھائی دے رہی ہے),Right there across the Chenab river lies my beloved’s hut,other,1,medium,
cs_s09_e04_t03_m02,cs_s09_e04_t03,چناب,Chenab,native,پار چناں دے دسّے کلّی یار دی (چناب کے پار یار کی کٹیا دکھائی دے رہی ہے),"The night is deathly dark, the river waves surge high around us",other,2,medium,
cs_s09_e04_t03_m03,cs_s09_e04_t03,چناب,Chenab,native,ّپار چناں دے دسّے کل ی یار دی (چناب کے پار یار کی کٹیا دکھائی دے رہی ہے),Right there across the Chenab river lies my beloved’s hut,other,5,medium,
cs_s09_e04_t03_m04,cs_s09_e04_t03,چناب,Chenab,native,پار چناں دے دسّے کلّی یار دی (چناب کے پار یار کی کٹیا دکھائی دے رہی ہے),Right there across the Chenab river lies my beloved’s hut,other,10,medium,
cs_s09_e07_t06_m01,cs_s09_e07_t06,mathura,Mathura,roman,mathura dekha,I have explored Mathura,other,17,high,
cs_s09_e07_t06_m02,cs_s09_e07_t06,Delhi,Delhi,english,At the courts of the twenty-two mystics of Delhi,,other,26,high,
cs_s10_e03_t01_m01,cs_s10_e03_t01,سیہون,Sehwan,native,سندھڑی دا سیہون دا شہباز قلندر (سندھ کا، سیہون کا شہباز قلندر),Shahbaz Qalandar of Sehwan and Sindh,other,3,medium,
cs_s10_e03_t01_m02,cs_s10_e03_t01,سندھ,Sindh,native,سندھڑی دا سیہون دا شہباز قلندر (سندھ کا، سیہون کا شہباز قلندر),Shahbaz Qalandar of Sehwan and Sindh,other,3,medium,
cs_s10_e03_t01_m03,cs_s10_e03_t01,سیہون,Sehwan,native,سندھڑی دا سیہون دا شہباز قلندر (سندھ کا، سیہون کا شہباز قلندر),O Shahbaz Qalandar of Sehwan and Sindh,other,5,medium,
cs_s10_e03_t01_m04,cs_s10_e03_t01,سندھ,Sindh,native,سندھڑی دا سیہون دا شہباز قلندر (سندھ کا، سیہون کا شہباز قلندر),O Shahbaz Qalandar of Sehwan and Sindh,other,5,medium,
cs_s10_e03_t01_m05,cs_s10_e03_t01,سیہون,Sehwan,native,سندھڑی دا سیہون دا شہباز قلندر ) (سندھ کا، سیہون کا شہباز قلندر,O Shahbaz Qalandar of Sehwan and Sindh,other,9,medium,
cs_s10_e03_t01_m06,cs_s10_e03_t01,سندھ,Sindh,native,سندھڑی دا سیہون دا شہباز قلندر ) (سندھ کا، سیہون کا شہباز قلندر,O Shahbaz Qalandar of Sehwan and Sindh,other,9,medium,
cs_s10_e03_t01_m07,cs_s10_e03_t01,سیہون,Sehwan,native,سندھڑی دا سیہون دا شہباز قلندر (سندھ کا، سیہون کا شہباز قلندر),O Shahbaz Qalandar of Sehwan and Sindh,other,11,medium,
cs_s10_e03_t01_m08,cs_s10_e03_t01,سندھ,Sindh,native,ہند سندھ پیرا تیری نوبت باجے (ہند اور سندھ دونوں میں تمہاری نوبت بجتی ہے، میرے پیر),"In both Hind and Sindh, trumpets and drums sound in your honour",other,11,medium,
cs_s11_e00_t01_m01,cs_s11_e00_t01,Pakistan,Pakistan,english,"a song FOR the people of Pakistan, BY the people of Pakistan!",,address,1,high,
cs_s12_e03_t03_m01,cs_s12_e03_t03,Delhi,Delhi,english,The twenty-two khwajahs of Delhi,,other,2,high,
cs_s12_e04_t02_m01,cs_s12_e04_t02,پنجاب,Punjab,native,میں تے بگّا ہاں پنجاب دا,I am Bagga of Punjab,other,12,medium,
